,Name,Network,Announced,Status,dimensions,wight,build,sim,displaytype,displaysize,displayresolution,O_S,chipset,CPU,cardslot,internal,quad,features,video_main,single,video_selfie,Loudspeaker,wlan,bluetooth,nfc,radio,usb,sensors,battery_type,price
1,Samsung Galaxy A12,GSM / HSPA / LTE,"2020, November 24","Coming soon. Exp. release 2021, January",164 x 75.8 x 8.9 mm (6.46 x 2.98 x 0.35 in),205 g (7.23 oz),"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",TFT,"6.5 inches, 103.7 cm2 (~83.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",Android 10,Not Found,"Octa-core (2.3 GHz, 1.8 GHz)",microSDXC,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM","48 MP, f/2.0, (wide), AF
5 MP, f/2.2, 115˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2",1080p@30fps,164 x 75.8 x 8.9 mm (6.46 x 2.98 x 0.35 in),Yes,164 x 75.8 x 8.9 mm (6.46 x 2.98 x 0.35 in),No,Unspecified,USB Type-C 2.0,Fingerprint (side-mounted); unspecified sensors,"Li-Po 5000 mAh, non-removable",About 180 EUR
2,Samsung Galaxy A02s,GSM / HSPA / LTE,"2020, November 24","Coming soon. Exp. release 2021, Februrary",-,-,"Glass front, plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",TFT,"6.5 inches, 105.5 cm2","720 x 1520 pixels, 19:9 ratio (~259 ppi density)",Android 10,Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,microSDXC,32GB 3GB RAM,"13 MP, (wide), AF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",LED flash,1080p@30fps,"5 MP, f/2.2",,-,Yes,-,No,Unspecified,microUSB 2.0,Unspecified,"Li-Po 5000 mAh, non-removable",About 150 EUR
3,Samsung Galaxy M21s,GSM / HSPA / LTE,"2020, November 06","Available. Released 2020, November 06",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),191 g (6.74 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 420 nits (typ)","6.4 inches, 100.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, One UI 2.5",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 6GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",1080p@30fps,159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),No,FM radio,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable",About 230 EUR
4,Samsung Galaxy M31 Prime,GSM / HSPA / LTE,"2020, October 14","Available. Released 2020, October 17",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),191 g (6.74 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 420 nits (peak)","6.4 inches, 100.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, One UI 2.0",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),128GB 6GB RAM,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)
5 MP, f/2.2, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),No,"FM radio, RDS, recording",USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable","₹ 16,499"
5,Samsung Galaxy F41,GSM / HSPA / LTE,"2020, October 08","Available. Released 2020, October 16",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),191 g (6.74 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 420 nits (typ)","6.4 inches, 100.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 10, One UI Core 2.1",Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),microSDXC (dedicated slot),"64GB 6GB RAM, 128GB 6GB RAM","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",1080p@30fps,159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),No,"FM radio, RDS, recording",USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable",About 200 EUR
6,Samsung Galaxy Tab Active3,GSM / HSPA / LTE,"2020, September 28","Available. Released 2020, September 28",213.8 x 126.8 x 9.9 mm (8.42 x 4.99 x 0.39 in),426 g (Wi-Fi) / 429 g (LTE) (15.03 oz),Not Found,Nano-SIM,PLS IPS ,"8.0 inches, 185.6 cm2 (~68.5% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)","Android 10, One UI 2.5",Exynos 9810 (10 nm),Octa-core (4x2.7 GHz Mongoose M3 & 4x1.7 GHz Cortex-A55),microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/1.9, (wide), AF","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","5 MP, f/2.2",,213.8 x 126.8 x 9.9 mm (8.42 x 4.99 x 0.39 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",213.8 x 126.8 x 9.9 mm (8.42 x 4.99 x 0.39 in),Yes (EMV Level 1 certification),No,USB Type-C 3.1; magnetic connector,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Li-Ion 5050 mAh, removable",About 600 EUR
7,Samsung Galaxy S20 FE 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,"2020, September 23","Available. Released 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),190 g (6.70 oz),"Glass front, plastic back, aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 120Hz, HDR10+","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)","Android 10, One UI 2.5",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123˚, 13mm (ultrawide), 1/3.0"", 1.12µm","LED flash, auto-HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30/60fps, 1080p@30/60fps (gyro-EIS)",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),Yes,FM radio,"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",$ 699.99 / € 679.99 / £ 684.99
8,Samsung Galaxy S20 FE,GSM / CDMA / HSPA / EVDO / LTE,"2020, September 23","Available. Released 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),190 g (6.70 oz),"Glass front, plastic back, aluminum frame","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED, 120Hz, HDR10+","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)","Android 10, One UI 2.5",Exynos 990 (7 nm+),Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 123˚, 13mm (ultrawide), 1/3.0"", 1.12µm","LED flash, auto-HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30/60fps, 1080p@30/60fps (gyro-EIS)",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),Yes,No,"USB Type-C 3.2, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","$ 514.99 / € 570.00 / £ 569.62 / ₹ 49,999"
9,Samsung Galaxy A42 5G,GSM / HSPA / LTE / 5G,"2020, September 02","Available. Released 2020, November 11",164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),193 g (6.81 oz),Not Found,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",Super AMOLED ,"6.6 inches, 105.2 cm2 (~84.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Android 10, One UI 2.5",Qualcomm SM7225 Snapdragon 750 5G (8 nm) - unconfirmed,Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@480fps","20 MP, f/2.2, (wide)",1080p@30fps,164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),Yes,Unspecified,USB Type-C 2.0,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",€ 299.26 / £ 349.00
10,Samsung Galaxy Tab A7 10.4 (2020),GSM / HSPA / LTE,"2020, September 02","Available. Released 2020, September 11",247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),"476 g (Wi-Fi), 477 g (LTE) (1.05 lb)",Not Found,Nano-SIM,IPS LCD ,"10.4 inches, 307.9 cm2 (~79.0% screen-to-body ratio)","1200 x 2000 pixels, 5:3 ratio (~224 ppi density)","Android 10, One UI 2.1",Qualcomm SM6115 Snapdragon 662 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),microSDXC,"32GB 3GB RAM, 64GB 3GB RAM","8 MP, AF",Not Found,1080p@30fps,5 MP,1080p@30fps,247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),No,No,USB Type-C 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 7040 mAh, non-removable",About 240 EUR
